input,response
-1.00,-0.900
-0.99,-0.877
-0.98,-0.855
-0.97,-0.833
-0.96,-0.810
-0.95,-0.788
-0.94,-0.765
-0.93,-0.743
-0.92,-0.720
-0.91,-0.698
-0.90,-0.675
-0.89,-0.653
-0.88,-0.630
-0.87,-0.608
-0.86,-0.585
-0.85,-0.563
-0.84,-0.540
-0.83,-0.518
-0.82,-0.495
-0.81,-0.473
-0.80,-0.450
-0.79,-0.428
-0.78,-0.405
-0.77,-0.383
-0.76,-0.360
-0.75,-0.338
-0.74,-0.315
-0.73,-0.293
-0.72,-0.270
-0.71,-0.248
-0.70,-0.225
-0.69,-0.203
-0.68,-0.180
-0.67,-0.158
-0.66,-0.135
-0.65,-0.113
-0.64,-0.090
-0.63,-0.068
-0.62,-0.045
-0.61,-0.023
-0.60,-0.000
-0.59,0.000
-0.58,0.000
-0.57,0.000
-0.56,0.000
-0.55,0.000
-0.54,0.000
-0.53,0.000
-0.52,0.000
-0.51,0.000
-0.50,0.000
-0.49,0.000
-0.48,0.000
-0.47,0.000
-0.46,0.000
-0.45,0.000
-0.44,0.000
-0.43,0.000
-0.42,0.000
-0.41,0.000
-0.40,0.000
-0.39,0.000
-0.38,0.000
-0.37,0.000
-0.36,0.000
-0.35,0.000
-0.34,0.000
-0.33,0.000
-0.32,0.000
-0.31,0.000
-0.30,0.000
-0.29,0.000
-0.28,0.000
-0.27,0.000
-0.26,0.000
-0.25,0.000
-0.24,0.000
-0.23,0.000
-0.22,0.000
-0.21,0.000
-0.20,0.000
-0.19,0.000
-0.18,0.000
-0.17,0.000
-0.16,0.000
-0.15,0.000
-0.14,0.000
-0.13,0.000
-0.12,0.000
-0.11,0.000
-0.10,0.000
-0.09,0.000
-0.08,0.000
-0.07,0.000
-0.06,0.000
-0.05,0.000
-0.04,0.000
-0.03,0.000
-0.02,0.000
-0.01,0.000
-0.00,0.000
 0.01,0.000
 0.02,0.000
 0.03,0.000
 0.04,0.000
 0.05,0.000
 0.06,0.000
 0.07,0.000
 0.08,0.000
 0.09,0.000
 0.10,0.000
 0.11,0.000
 0.12,0.000
 0.13,0.000
 0.14,0.000
 0.15,0.000
 0.16,0.000
 0.17,0.000
 0.18,0.000
 0.19,0.000
 0.20,0.000
 0.21,0.000
 0.22,0.000
 0.23,0.000
 0.24,0.000
 0.25,0.000
 0.26,0.000
 0.27,0.000
 0.28,0.000
 0.29,0.000
 0.30,0.000
 0.31,0.000
 0.32,0.000
 0.33,0.000
 0.34,0.000
 0.35,0.000
 0.36,0.000
 0.37,0.000
 0.38,0.000
 0.39,0.000
 0.40,0.000
 0.41,0.000
 0.42,0.000
 0.43,0.000
 0.44,0.000
 0.45,0.000
 0.46,0.000
 0.47,0.000
 0.48,0.000
 0.49,0.000
 0.50,0.000
 0.51,0.000
 0.52,0.000
 0.53,0.000
 0.54,0.000
 0.55,0.000
 0.56,0.000
 0.57,0.000
 0.58,0.000
 0.59,0.000
 0.60,0.000
 0.61,0.022
 0.62,0.045
 0.63,0.067
 0.64,0.090
 0.65,0.112
 0.66,0.135
 0.67,0.157
 0.68,0.180
 0.69,0.202
 0.70,0.225
 0.71,0.247
 0.72,0.270
 0.73,0.292
 0.74,0.315
 0.75,0.337
 0.76,0.360
 0.77,0.382
 0.78,0.405
 0.79,0.427
 0.80,0.450
 0.81,0.472
 0.82,0.495
 0.83,0.517
 0.84,0.540
 0.85,0.562
 0.86,0.585
 0.87,0.607
 0.88,0.630
 0.89,0.652
 0.90,0.675
 0.91,0.697
 0.92,0.720
 0.93,0.742
 0.94,0.765
 0.95,0.787
 0.96,0.810
 0.97,0.832
 0.98,0.855
 0.99,0.877
 1.00,0.900
